usuario,productos_tot_num,compras_tot_num,precio_medio_prod,ultima_compra,gasto_tot,productos_por_compra,F,M,ult_compra_dias,R,valor,RFM
25392526,3,1,7.379999999999999,2019-12-18,22.139999999999997,3.0,1,1,73,3,5,311
27756757,1,1,20.63,2020-01-27,20.63,1.0,1,1,33,4,6,411
50748978,9,1,1.1122222222222222,2019-12-14,10.01,9.0,1,1,77,3,5,311
52747911,3,1,7.673333333333333,2019-10-10,23.02,3.0,1,1,142,1,3,111
65241811,5,1,8.358,2019-11-11,41.790000000000006,5.0,1,1,110,2,4,211
74332980,8,1,3.985,2019-10-23,31.88,8.0,1,1,129,1,3,111
80577370,10,2,10.623999999999999,2019-11-29,106.23999999999998,5.0,1,1,92,2,4,211
88211255,22,4,4.8577272727272724,2020-02-25,106.86999999999999,5.5,1,1,4,5,7,511
93279832,44,2,3.193409090909091,2019-12-19,140.51,22.0,1,1,72,3,5,311
94390236,3,1,9.733333333333333,2019-11-07,29.199999999999996,3.0,1,1,114,2,4,211
97980555,14,2,6.542857142857143,2020-01-27,91.6,7.0,1,1,33,4,6,411
98079173,14,2,2.245,2019-12-20,31.43,7.0,1,1,71,3,5,311
99666343,1,1,4.0,2019-12-17,4.0,1.0,1,1,74,3,5,311
101281763,4,1,9.975000000000001,2019-11-30,39.900000000000006,4.0,1,1,91,2,4,211
105075440,9,3,4.597777777777778,2019-12-23,41.38,3.0,1,1,68,3,5,311
107945915,163,4,2.938650306748466,2020-02-29,479.0,40.75,1,2,0,5,8,512
111515411,5,1,5.172,2019-11-11,25.86,5.0,1,1,110,2,4,211
118735467,21,2,3.935238095238095,2019-11-11,82.64,10.5,1,1,110,2,4,211
118821435,93,3,4.427096774193548,2019-11-26,411.71999999999997,31.0,1,2,95,2,5,212
127690568,6,2,13.899999999999999,2019-11-26,83.39999999999999,3.0,1,1,95,2,4,211
129089988,1,1,47.59,2019-11-01,47.59,1.0,1,1,120,2,4,211
131994138,26,1,3.6034615384615383,2019-12-13,93.69,26.0,1,1,78,3,5,311
146613395,11,1,3.4690909090909092,2019-11-15,38.160000000000004,11.0,1,1,106,2,4,211
147152600,18,1,2.685,2019-10-14,48.33,18.0,1,1,138,1,3,111
147995998,11,1,3.016363636363636,2020-02-20,33.18,11.0,1,1,9,5,7,511
149936015,30,1,7.7043333333333335,2019-11-15,231.13,30.0,1,1,106,2,4,211
150025339,13,1,6.234615384615385,2019-11-07,81.05,13.0,1,1,114,2,4,211
150191214,10,1,3.714,2019-10-07,37.14,10.0,1,1,145,1,3,111
151909411,8,1,7.01625,2020-02-11,56.13,8.0,1,1,18,5,7,511
155085826,3,1,3.1999999999999997,2019-10-31,9.6,3.0,1,1,121,1,3,111
156025323,3,1,3.28,2019-12-11,9.84,3.0,1,1,80,3,5,311
156245495,5,1,6.525999999999999,2019-12-19,32.629999999999995,5.0,1,1,72,3,5,311
157051313,22,1,2.9450000000000003,2019-10-22,64.79,22.0,1,1,130,1,3,111
160665890,10,1,1.221,2020-01-16,12.21,10.0,1,1,44,4,6,411
160962173,7,1,4.9557142857142855,2019-10-21,34.69,7.0,1,1,131,1,3,111
161222358,4,1,5.4125,2019-11-19,21.65,4.0,1,1,102,2,4,211
164784086,6,1,8.253333333333332,2019-11-12,49.519999999999996,6.0,1,1,109,2,4,211
164882623,5,1,5.21,2019-11-22,26.05,5.0,1,1,99,2,4,211
166177367,11,1,2.19,2019-11-04,24.09,11.0,1,1,117,2,4,211
169447226,9,2,5.65,2019-12-16,50.85,4.5,1,1,75,3,5,311
172276596,14,1,4.132857142857143,2020-02-15,57.86,14.0,1,1,14,5,7,511
172692779,3,1,3.893333333333333,2019-12-04,11.68,3.0,1,1,87,3,5,311
173521728,3,1,15.183333333333335,2020-02-12,45.550000000000004,3.0,1,1,17,5,7,511
173697726,5,1,6.968000000000001,2019-11-20,34.84,5.0,1,1,101,2,4,211
173797161,12,1,2.413333333333333,2020-02-03,28.959999999999997,12.0,1,1,26,5,7,511
177390915,6,1,8.65,2019-11-22,51.900000000000006,6.0,1,1,99,2,4,211
185889245,12,2,4.2175,2020-02-25,50.61,6.0,1,1,4,5,7,511
186742626,18,1,5.648333333333333,2019-10-06,101.67,18.0,1,1,146,1,3,111
189390340,1,1,16.35,2020-02-07,16.35,1.0,1,1,22,5,7,511
194809352,12,1,17.048333333333336,2019-11-24,204.58000000000004,12.0,1,1,97,2,4,211
195176258,13,1,4.661538461538462,2019-10-18,60.6,13.0,1,1,134,1,3,111
196957742,1,1,4.13,2019-10-24,4.13,1.0,1,1,128,1,3,111
198778103,101,4,3.3446534653465347,2020-02-28,337.81,25.25,1,2,1,5,8,512
198925986,3,1,7.236666666666667,2019-11-23,21.71,3.0,1,1,98,2,4,211
200740139,9,1,4.1,2019-12-08,36.9,9.0,1,1,83,3,5,311
201260370,6,1,4.243333333333333,2020-02-26,25.46,6.0,1,1,3,5,7,511
201686069,7,1,5.925714285714285,2020-01-20,41.48,7.0,1,1,40,4,6,411
201968865,4,1,9.442499999999999,2019-11-13,37.769999999999996,4.0,1,1,108,2,4,211
202009202,25,3,7.4588,2019-11-19,186.47,8.333333333333334,1,1,102,2,4,211
203231372,21,1,2.3995238095238096,2020-01-05,50.39,21.0,1,1,55,4,6,411
