,categoria,conteo
82,1487580007675986893,8035
38,1487580006317032337,4850
22,1487580005671109489,4455
7,1487580005092295511,4416
20,1487580005595612013,4065
290,1602943681873052386,3637
133,1487580009286598681,3328
9,1487580005268456287,3021
8,1487580005134238553,2663
138,1487580009445982239,2389
24,1487580005754995573,2152
150,1487580010100293687,1897
102,1487580008145748965,1877
14,1487580005427839846,1795
105,1487580008246412266,1680
190,1487580011585077370,1601
3,1487580004916134735,1548
263,1487580013841613016,1487
391,2084144451428549153,1470
23,1487580005713052531,1420
17,1487580005511725929,1376
139,1487580009471148064,1292
134,1487580009311764506,1247
80,1487580007634043851,1245
252,1487580013522845895,1115
69,1487580007281722301,1022
254,1487580013581566154,1013
68,1487580007256556476,1001
5,1487580005050352469,985
205,1487580012096782476,969
137,1487580009387261981,956
19,1487580005553668971,955
169,1487580010796548183,944
73,1487580007432717250,918
104,1487580008187692007,811
144,1487580009605365797,772
84,1487580007717929935,764
106,1487580008263189483,725
15,1487580005461394279,711
296,1658462125284131265,701
314,1783999067156644376,699
46,1487580006551913373,675
317,1783999068909863670,674
413,2151191071378375538,672
88,1487580007852147670,663
307,1783999063314661546,649
268,1487580013950664926,645
293,1638456119066100510,641
231,1487580013011140782,637
233,1487580013053083824,635
44,1487580006509970331,621
70,1487580007306888126,619
264,1487580013858390233,599
399,2115334439910245200,590
411,2151191071051219817,585
140,1487580009496313889,581
91,1487580007910867929,551
161,1487580010628776014,546
312,1783999064136745198,536
92,1487580007936033754,529
374,2007399943458784057,528
183,1487580011383750769,525
170,1487580010821714008,512
234,1487580013069861041,508
425,2195085255034011676,506
78,1487580007575323592,503
151,1487580010125459512,466
172,1487580010872045658,463
404,2140803113261466607,460
136,1487580009362096156,442
192,1487580011627020412,436
384,2055161088059638328,426
193,1487580011652186237,426
346,1897124478404526487,415
54,1487580006895846315,407
311,1783999064103190764,403
320,1783999072332415142,378
4,1487580005008409427,377
422,2193074740552270669,376
13,1487580005411062629,374
318,1783999071199952917,371
292,1605161575889502297,364
256,1487580013640286413,359
37,1487580006300255120,348
195,1487580011702517887,348
107,1487580008288355308,345
180,1487580011283087468,344
128,1487580009143992338,341
108,1487580008313521133,331
227,1487580012927254698,330
260,1487580013749338323,328
1,1487580004857414477,325
93,1487580007952810971,323
246,1487580013388628160,320
114,1487580008657454075,319
125,1487580009051717646,318
81,1487580007659209676,316
275,1511892746070131099,312
39,1487580006350586771,311
2,1487580004882580302,309
232,1487580013027917999,305
229,1487580012969197740,292
230,1487580012994363565,292
79,1487580007592100809,275
412,2151191071118328683,272
253,1487580013539623112,272
56,1487580006962955182,271
226,1487580012902088873,270
6,1487580005067129686,267
185,1487580011425693811,254
75,1487580007483048900,252
250,1487580013489291461,248
198,1487580011853512836,246
162,1487580010645553231,244
0,1487580004832248652,242
26,1487580005855658874,241
431,2196456817641391019,240
34,1487580006132482952,239
86,1487580007776650194,238
72,1487580007399162817,236
40,1487580006409307030,232
131,1487580009227878422,222
251,1487580013506068678,211
132,1487580009261432856,210
184,1487580011408916594,210
111,1487580008447738866,206
189,1487580011534745720,201
141,1487580009521479714,198
187,1487580011501191286,197
168,1487580010779770966,197
109,1487580008347075566,193
118,1487580008800059394,192
343,1891434214553813877,188
160,1487580010561667147,185
289,1597770225539875791,183
77,1487580007550157767,179
247,1487580013413793985,176
242,1487580013279576251,175
216,1487580012591710363,168
130,1487580009202712597,167
316,1783999068867920626,163
429,2195085258272014535,162
18,1487580005528503146,159
194,1487580011677352062,155
210,1487580012373606546,153
100,1487580008112194531,153
203,1487580012021285001,152
249,1487580013472514244,151
215,1487580012574933146,151
405,2141560642253881670,148
277,1525995662934540829,143
409,2151191070908613477,142
49,1487580006644188066,139
145,1487580009622143014,136
410,2151191070984110951,136
352,1921723491720102387,134
355,1924049110428549877,133
36,1487580006241534861,130
304,1752742615205281895,128
237,1487580013145358517,127
381,2029082628195353599,127
255,1487580013615120588,125
181,1487580011308253293,122
319,1783999071325782053,120
280,1542195323827388674,120
177,1487580011157258342,120
238,1487580013170524342,119
117,1487580008774893569,117
55,1487580006937789357,117
310,1783999064069636330,116
214,1487580012524601496,116
336,1842735758805303837,115
28,1487580005897601916,114
259,1487580013732561106,112
272,1495705810662064688,111
167,1487580010754605141,111
270,1487580014009385185,111
157,1487580010318397504,110
366,1977575787259232875,110
262,1487580013824835799,107
